"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"HIFLG.3","BITS:eb","Data Label","Global","Imported","0","0"
"HIFLG.4","BITS:ec","Data Label","Global","Imported","0","0"
"HIFLG.5","BITS:ed","Data Label","Global","Imported","0","0"
"HIFLG.6","BITS:ee","Data Label","Global","Imported","0","0"
"HIFLG.7","BITS:ef","Data Label","Global","Imported","0","0"
"B.0","BITS:f0","Data Label","Global","Imported","0","0"
"B.1","BITS:f1","Data Label","Global","Imported","0","0"
"B.2","BITS:f2","Data Label","Global","Imported","0","0"
"B.3","BITS:f3","Data Label","Global","Imported","0","0"
"B.4","BITS:f4","Data Label","Global","Imported","0","0"
"B.5","BITS:f5","Data Label","Global","Imported","0","0"
"B.6","BITS:f6","Data Label","Global","Imported","0","0"
"B.7","BITS:f7","Data Label","Global","Imported","0","0"
"F8.0","BITS:f8","Data Label","Global","Imported","0","0"
"F8.1","BITS:f9","Data Label","Global","Imported","0","0"
"F8.2","BITS:fa","Data Label","Global","Imported","0","0"
"F8.3","BITS:fb","Data Label","Global","Imported","0","0"
"F8.4","BITS:fc","Data Label","Global","Imported","0","0"
"F8.5","BITS:fd","Data Label","Global","Imported","0","0"
"F8.6","BITS:fe","Data Label","Global","Imported","0","0"
"F8.7","BITS:ff","Data Label","Global","Imported","0","0"
"FUN_CODE_0006","CODE:0006","Function","Global","Default","1","0"
"fill_scsi_resp","CODE:0206","Function","Global","User Defined","10","0"
"FUN_CODE_0395","CODE:0395","Function","Global","Default","6","0"
"hm_call_send_2","CODE:0417","Function","Global","User Defined","1","0"
"indirect_to_wait_in_write_path","CODE:041c","Function","Global","User Defined","11","0"
"indirect_to_wait_in_write_path_","CODE:0421","Function","Global","User Defined","1","0"
"FUN_CODE_0426","CODE:0426","Function","Global","Default","2","0"
"FUN_CODE_042b","CODE:042b","Function","Global","Default","1","0"
"FUN_CODE_0449","CODE:0449","Function","Global","Default","1","0"
"FUN_CODE_0453","CODE:0453","Function","Global","Default","2","0"
"FUN_CODE_0471","CODE:0471","Function","Global","Default","1","0"
"FUN_CODE_047b","CODE:047b","Function","Global","Default","1","0"
"FUN_CODE_04ee","CODE:04ee","Function","Global","Default","2","0"
"FUN_CODE_051b","CODE:051b","Function","Global","Default","6","0"
"mb_read_from_addrspace","CODE:0bc8","Function","Global","User Defined","53","0"
"mb_indirecT_setter","CODE:0be6","Function","Global","User Defined","110","0"
"FUN_CODE_0c64","CODE:0c64","Function","Global","Default","5","0"
"copy_from_r0_into_r4r7","CODE:0d78","Function","Global","User Defined","19","0"
"copy_4_into_r4_r7","CODE:0dc5","Function","Global","User Defined","36","0"
"offset_dptr_by_a*b","CODE:0dd1","Function","Global","User Defined","33","0"
"read_dptr_into_r1r3","CODE:0ddd","Function","Global","User Defined","12","0"
"copy_3_into_dptr_from_r1_r3","CODE:0de6","Function","Global","User Defined","8","0"
"FUN_CODE_1564","CODE:1564","Function","Global","Default","7","0"
"FUN_CODE_1567","CODE:1567","Function","Global","Default","21","0"
"FUN_CODE_1571","CODE:1571","Function","Global","Default","11","0"
"FUN_CODE_1579","CODE:1579","Function","Global","Default","8","0"
"FUN_CODE_1580","CODE:1580","Function","Global","Default","1","0"
"FUN_CODE_15ac","CODE:15ac","Function","Global","Default","2","0"
"FUN_CODE_15af","CODE:15af","Function","Global","Default","12","0"
"FUN_CODE_15bb","CODE:15bb","Function","Global","Default","1","0"
"FUN_CODE_15c3","CODE:15c3","Function","Global","Default","2","0"
"FUN_CODE_15d0","CODE:15d0","Function","Global","Default","1","0"
"FUN_CODE_15d4","CODE:15d4","Function","Global","Default","5","0"
"FUN_CODE_15dc","CODE:15dc","Function","Global","Default","3","0"
"FUN_CODE_15ef","CODE:15ef","Function","Global","Default","5","0"
"FUN_CODE_15f1","CODE:15f1","Function","Global","Default","3","0"
"FUN_CODE_161a","CODE:161a","Function","Global","Default","2","0"
"FUN_CODE_1633","CODE:1633","Function","Global","Default","2","0"
"FUN_CODE_1646","CODE:1646","Function","Global","Default","3","0"
"FUN_CODE_166f","CODE:166f","Function","Global","Default","1","0"
"FUN_CODE_1679","CODE:1679","Function","Global","Default","1","0"
"FUN_CODE_1687","CODE:1687","Function","Global","Default","2","0"
"FUN_CODE_168c","CODE:168c","Function","Global","Default","1","0"
"FUN_CODE_1696","CODE:1696","Function","Global","Default","3","0"
"FUN_CODE_16a2","CODE:16a2","Function","Global","Default","2","0"
"FUN_CODE_16a4","CODE:16a4","Function","Global","Default","1","0"
"FUN_CODE_16b7","CODE:16b7","Function","Global","Default","2","0"
"FUN_CODE_16b8","CODE:16b8","Function","Global","Default","1","0"
"FUN_CODE_16d2","CODE:16d2","Function","Global","Default","2","0"
"FUN_CODE_16d3","CODE:16d3","Function","Global","Default","1","0"
"FUN_CODE_16de","CODE:16de","Function","Global","Default","3","0"
"FUN_CODE_16e9","CODE:16e9","Function","Global","Default","2","0"
"FUN_CODE_16eb","CODE:16eb","Function","Global","Default","2","0"
"FUN_CODE_16f3","CODE:16f3","Function","Global","Default","2","0"
"FUN_CODE_16ff","CODE:16ff","Function","Global","Default","3","0"
"FUN_CODE_173b","CODE:173b","Function","Global","Default","1","0"
"FUN_CODE_1752","CODE:1752","Function","Global","Default","2","0"
"FUN_CODE_176b","CODE:176b","Function","Global","Default","2","0"
"FUN_CODE_1779","CODE:1779","Function","Global","Default","2","0"
"FUN_CODE_1787","CODE:1787","Function","Global","Default","4","0"
"FUN_CODE_179d","CODE:179d","Function","Global","Default","2","0"
"FUN_CODE_17cd","CODE:17cd","Function","Global","Default","2","0"
"FUN_CODE_17ed","CODE:17ed","Function","Global","Default","3","0"
"FUN_CODE_17fd","CODE:17fd","Function","Global","Default","3","0"
"FUN_CODE_1804","CODE:1804","Function","Global","Default","2","0"
"FUN_CODE_1bcb","CODE:1bcb","Function","Global","Default","5","0"
"some_read_splitter??","CODE:2608","Function","Global","User Defined","6","0"
"FUN_CODE_280a","CODE:280a","Function","Global","Default","2","0"
"set_dptr|=1","CODE:3133","Function","Global","User Defined","14","0"
"FUN_CODE_31c5","CODE:31c5","Function","Global","Default","2","0"
"FUN_CODE_31d5","CODE:31d5","Function","Global","Default","2","0"
"FUN_CODE_31e0","CODE:31e0","Function","Global","Default","2","0"
"FUN_CODE_31e2","CODE:31e2","Function","Global","Default","2","0"
"FUN_CODE_3249","CODE:3249","Function","Global","Default","2","0"
